dataset_id,method,metric,k0,hyperparam_name,hyperparam_value,hyperparam_label,tsne_perplexity,umap_n_neighbors,T_value,V_value,null_mean,null_sd,null_q95,z_value,p_value,certified_above_null,source_block,protocol_source,b_used,max_pairs_used,n_points_used,subsample_frac,tau,run_null,random_state,representation_description,label_construction_note,n_raw,n_original,n_used,cap_policy,number_of_classes_retained,min_class_support,median_class_support,max_class_support,rank_T_desc,rank_V_desc,n_hyperparam_settings,missing_hyperparams_json,hyperparam_grid_complete,b_min,b_max,pairs_min,pairs_max,n_points_min,n_points_max,group_protocol_candidate_count,group_protocol_uniform,table_family,n_samples,n_samples_source,requested_cap_inferred,requested_cap_source,n_target_auto,n_target_source,n_target,n_target_mode,n_target_active_source,meets_nominal_target,compute_tier_group,compute_tier,compute_status,protocol_note
20newsgroups,umap,ami,20,umap_n_neighbors,15.0,n_neighbors=15,,15.0,0.8995171198443046,0.2742386680994434,5.172345460376567e-07,1.1756899855609223e-05,2.1417403824313532e-05,76509.67633109493,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,1,4,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ami,20,umap_n_neighbors,30.0,n_neighbors=30,,30.0,0.8832765037242748,0.280862787881206,-4.818900094001112e-07,1.084973096762555e-05,1.7867657264841494e-05,81410.03571884772,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,4,2,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ami,20,umap_n_neighbors,50.0,n_neighbors=50,,50.0,0.8887483976017138,0.2768283807656002,6.721052047466687e-07,1.262087382448793e-05,2.1142973291024746e-05,70418.8741489592,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,3,3,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ami,20,umap_n_neighbors,100.0,n_neighbors=100,,100.0,0.8890740348393185,0.2811534510741337,1.012949796281667e-07,1.1993761382353227e-05,2.0653369085837942e-05,74128.03249966765,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,2,1,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ari,20,umap_n_neighbors,5.0,n_neighbors=5,,5.0,0.7544381530304025,0.1001740552679136,-1.96794539913543e-07,6.252672822064728e-06,1.0495235448409091e-05,120658.53616434953,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,6,6,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ari,20,umap_n_neighbors,10.0,n_neighbors=10,,10.0,0.7637916697545862,0.1348950867277552,2.5414800069533287e-08,4.668854687003594e-06,8.359884640162823e-06,163592.93564349014,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,5,5,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ari,20,umap_n_neighbors,15.0,n_neighbors=15,,15.0,0.8064533070830247,0.1399098025533184,5.7544420499231555e-08,4.644145699909183e-06,6.960372923928106e-06,173649.42911984315,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,1,4,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ari,20,umap_n_neighbors,30.0,n_neighbors=30,,30.0,0.7810009017057583,0.1475269998720868,-1.9430524836752513e-08,4.444613147779648e-06,7.251685686804153e-06,175718.53728742176,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,4,2,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ari,20,umap_n_neighbors,50.0,n_neighbors=50,,50.0,0.7949745732770738,0.1459458658107955,9.509964310709169e-08,4.234887968452967e-06,6.597222140933264e-06,187720.3090375588,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,2,3,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
20newsgroups,umap,ari,20,umap_n_neighbors,100.0,n_neighbors=100,,100.0,0.7889559739341006,0.1475465106959576,-2.549188095876796e-07,4.520842559804908e-06,6.476615493158982e-06,174515.3073605281,0.0049751243781094,True,old_baseline,merged_csv,200,2000,18846,0.8,200,True,123,,,,,,,,,,,3,1,6,[],True,200,200,2000,2000,18846,18846,1,True,fixed_k0,,missing,18846.0,best_budget_inference,18846.0,auto:requested_cap_only,18846.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,
