dataset_id,method,metric,K,T_mean,T_sd_pairs,V_mean,null_mean,null_sd,null_q95,p_value,z_score,pairs_used,source_block,b_used,max_pairs_used,n_points_used,subsample_frac,null_trials,alpha_bh,protocol_source,k_at_max_T,k_at_max_V,k_at_max_Z,max_T,max_V,max_Z,bh_reject,k_bh,is_k_bh,alpha_bh_used,alpha_source,b_min,b_max,pairs_min,pairs_max,n_points_min,n_points_max,precomputed_candidate_count,row_tuple_candidate_count,group_protocol_uniform,table_family,n_samples,requested_cap_inferred,requested_cap_source,n_target_auto,n_target_source,n_target_full,n_target_full_source,n_target,n_target_mode,n_target_active_source,meets_nominal_target,compute_tier_group,compute_tier,compute_status,protocol_note,group_protocol_candidate_count,protocol_candidates_json,T_minus_q95,T_minus_null_mean,validity_present
20newsgroups,tsne,jaccard,5,0.923908652673702,0.0455210343268289,0.0844997557023451,0.1136592596766478,1.2624577010949098e-05,0.1136779476620716,0.0049751243781094,64180.32004512607,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.8102307050116304,0.8102493929970542,True
20newsgroups,tsne,jaccard,8,0.802225030993922,0.1739872845551058,0.0954576841080036,0.0698524012260312,1.2478207414760395e-05,0.0698716019518044,0.0049751243781094,58692.13464921023,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.7323534290421175,0.7323726297678907,True
20newsgroups,tsne,jaccard,10,0.6911439554127181,0.15842184581748,0.0961104327025469,0.0546750642675946,1.2387337609365713e-05,0.0546949484583439,0.0049751243781094,51380.6042279745,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.6364490069543742,0.6364688911451235,True
20newsgroups,tsne,jaccard,15,0.6798458706668197,0.1136533080921769,0.0982631412039038,0.0369994168292718,1.1663643673056351e-05,0.0370183501571221,0.0049751243781094,55115.40577345978,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.6428275205096976,0.6428464538375479,True
20newsgroups,tsne,jaccard,20,0.6163879641618298,0.1008450270621481,0.0998174104255392,0.027719104331585,1.1363905803203902e-05,0.0277364536218381,0.0049751243781094,51801.631413054965,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.5886515105399918,0.5886688598302449,True
20newsgroups,tsne,jaccard,25,0.5757939499265834,0.0779418553685866,0.0952423332919526,0.0220981136341858,1.1523165447317689e-05,0.0221166912838733,0.0049751243781094,48050.67139093143,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.5536772586427101,0.5536958362923976,True
20newsgroups,tsne,jaccard,30,0.6094160737130865,0.0656444004472356,0.0891777510880801,0.0183807560075767,1.1623148591395572e-05,0.0183995204883079,0.0049751243781094,50849.8461546851,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,3,20,3,0.9748133560443232,0.0998174104255392,65701.4168184172,True,30,True,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.5910165532247785,0.5910353177055098,True
20newsgroups,umap,ami,2,0.9491361870657228,0.0586073552117158,0.0960694130016826,2.4702139541284705e-08,1.5525021484677404e-05,2.609958490844359e-05,0.0049751243781094,61135.900088791765,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,2,30,2,0.9491361870657228,0.2602715934038454,61135.900088791765,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.9491100874808144,0.9491361623635832,True
20newsgroups,umap,ami,3,0.9384350494156024,0.0917188709098567,0.1135664394287292,-6.968287162179375e-07,1.9731828100321887e-05,2.8362738392642183e-05,0.0049751243781094,47559.49329545446,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,2,30,2,0.9491361870657228,0.2602715934038454,61135.900088791765,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.9384066866772097,0.9384357462443186,True
20newsgroups,umap,ami,5,0.9104432050937108,0.0840939763065619,0.1478562915467359,5.50920509720263e-06,2.9150985692099723e-05,5.750157609780005e-05,0.0049751243781094,31231.797974342713,1039,old_baseline,200,2000,3000,0.8,200,0.05,chunk_json_fallback,2,30,2,0.9491361870657228,0.2602715934038454,61135.900088791765,True,30,False,0.05,group,200,200,2000,2000,3000,3000,1,1,True,k_sweep,,3000.0,best_budget_inference,3000.0,auto:requested_cap_only,,full:missing_n_samples,3000.0,auto,auto:requested_cap_only,True,nominal,nominal,uniform_protocol,,1,"[""200|2000|3000""]",0.9103857035176129,0.9104376958886136,True
